iteration,reward_mean,total_episodes,ep_len
2,-29.0,1,2523.0
4,147.5,2,2430.5
5,103.33333333333333,3,1891.3333333333333
7,99.5,4,1963.25
10,142.0,5,2049.2
11,123.16666666666667,6,1867.3333333333333
13,92.42857142857143,7,1911.4285714285713
15,66.625,8,1912.125
17,67.22222222222223,9,1904.5555555555557
18,60.9,10,1898.7
19,37.54545454545455,11,1793.3636363636363
21,58.333333333333336,12,1778.1666666666667
23,56.46153846153846,13,1781.0
25,40.785714285714285,14,1805.4285714285713
28,48.3125,16,1799.75
31,67.70588235294117,17,1848.8823529411766
33,61.5,18,1871.3333333333333
34,53.578947368421055,19,1819.578947368421
35,53.05,20,1780.55
36,47.523809523809526,21,1733.857142857143
37,40.68181818181818,22,1701.0
39,34.26086956521739,23,1738.1304347826087
40,26.458333333333332,24,1707.2083333333333
41,17.88,25,1668.8
42,18.46153846153846,26,1644.0
43,10.0,27,1622.962962962963
45,2.689655172413793,29,1584.551724137931
47,1.4666666666666666,30,1593.6666666666667
49,-13.3125,32,1562.375
51,-22.764705882352942,34,1528.9411764705883
52,-28.085714285714285,35,1508.5142857142857
54,-27.27777777777778,36,1513.361111111111
55,-30.64864864864865,37,1513.2972972972973
57,-30.42105263157895,38,1506.078947368421
58,-38.025,40,1472.625
59,-41.926829268292686,41,1461.8536585365853
60,-47.404761904761905,42,1451.2142857142858
62,-50.58139534883721,43,1455.7441860465117
64,-49.31818181818182,44,1463.2954545454545
65,-53.044444444444444,45,1449.8222222222223
66,-57.130434782608695,46,1454.5869565217392
67,-59.40425531914894,47,1440.872340425532
68,-63.8125,48,1421.4583333333333
70,-66.14285714285714,49,1434.591836734694
